movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
1,2088,4.0,854967314,1,1995,Adventure,Animation,Children,10759,3.91,0.89,"","","","","",3,1995,0.58,3.00,0.00,"","","","",""
105,14899,4.0,864503388,1,1995,Drama,Romance,"",2087,3.30,1.15,593,527,110,21,318,25,1993,5.85,3.88,0.88,Drama,Thriller,Crime,Action,Adventure
110,22121,4.0,841365024,1,1995,Action,Drama,War,11637,4.04,0.97,208,356,161,593,231,23,1993,1.73,3.39,0.50,Adventure,Drama,Comedy,Thriller,War
110,23459,5.0,1076959686,1,1995,Action,Drama,War,11637,4.04,0.97,592,52,531,62,453,23,1992,8.08,2.98,1.16,Drama,Crime,Comedy,Romance,Thriller
110,29549,2.5,1173571086,0,1995,Action,Drama,War,11637,4.04,0.97,593,50,288,508,47,37,1993,4.33,2.76,1.19,Comedy,Thriller,Crime,Drama,Mystery
150,7711,4.0,837091518,1,1995,Adventure,Drama,IMAX,10324,3.86,0.86,380,"","","","",3,1991,2.65,3.00,2.00,Action,Adventure,Comedy,Romance,Thriller
151,11888,3.0,845675042,0,1995,Action,Drama,Romance,2767,3.57,0.92,553,350,266,160,39,72,1993,1.44,3.14,0.97,Comedy,Drama,Thriller,Action,Romance
16,13865,4.0,846462452,1,1995,Crime,Drama,"",3846,3.81,0.85,508,50,19,47,454,31,1993,1.61,3.45,0.62,Thriller,Drama,Action,Crime,Comedy
162,23843,4.0,839631925,1,1994,Documentary,"","",1303,4.05,0.95,563,73,515,159,261,81,1992,6.96,3.75,1.10,Drama,Romance,Comedy,Thriller,Children
165,1512,4.0,838990222,1,1995,Action,Crime,Thriller,7392,3.50,0.89,588,349,590,150,"",5,1992,2.55,4.00,0.71,Adventure,Drama,IMAX,Western,Action
165,6731,4.5,1145526157,1,1995,Action,Crime,Thriller,7392,3.50,0.89,316,780,32,589,500,19,1993,1.72,4.66,0.47,Action,Thriller,Adventure,Sci-Fi,Comedy
165,8304,3.0,828497783,0,1995,Action,Crime,Thriller,7392,3.50,0.89,266,349,218,224,432,23,1993,1.48,3.22,1.00,Drama,Crime,Thriller,Romance,Comedy
172,29573,3.5,1109779199,1,1995,Action,Sci-Fi,Thriller,2722,2.70,1.03,246,163,"","","",2,1994,0.71,4.25,1.06,Action,Romance,Western,Documentary,""
196,2162,3.0,836418409,0,1995,Horror,Sci-Fi,"",2957,2.85,0.98,440,11,589,480,356,35,1993,1.52,3.80,0.99,Drama,Adventure,Action,Thriller,Comedy
208,14204,3.0,837614312,0,1995,Action,Adventure,Sci-Fi,5958,2.85,1.03,457,593,318,316,329,13,1993,1.71,3.69,1.18,Crime,Drama,Thriller,Action,Adventure
215,26439,5.0,896885260,1,1995,Drama,Romance,"",1169,3.80,0.96,590,11,515,912,923,22,1980,18.84,4.68,0.57,Drama,Romance,Thriller,Comedy,Crime
231,13865,3.0,846461876,0,1994,Adventure,Comedy,"",7051,2.93,1.21,165,380,"","","",7,1993,2.14,3.29,0.49,Action,Thriller,Adventure,Comedy,Romance
231,19095,4.0,847645635,1,1994,Adventure,Comedy,"",7051,2.93,1.21,356,595,588,457,150,11,1992,2.12,3.45,0.52,Adventure,Drama,IMAX,Animation,Children
237,27248,2.0,962878958,0,1995,Comedy,Romance,"",1411,3.20,0.90,224,215,35,534,509,100,1990,12.17,3.44,0.76,Drama,Comedy,Romance,Thriller,Crime
