movieId,userId,rating,timestamp,label,title,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
1,3606,4.5,1129822444,1,Toy Story,1995,Adventure,Animation,Children,10759,3.91,0.89,260,110,318,150,590,16,1989,13.84,4.00,0.84,Drama,Thriller,Action,Crime,Adventure
10,16974,4.5,1227451401,1,GoldenEye,1995,Action,Adventure,Thriller,6330,3.42,0.87,661,260,671,589,778,13,1986,16.59,4.04,0.59,Comedy,Sci-Fi,Adventure,Action,Children
10,3210,3.0,1119396450,0,GoldenEye,1995,Action,Adventure,Thriller,6330,3.42,0.87,969,940,919,260,480,18,1981,22.13,3.72,0.65,Adventure,Action,Romance,Thriller,Drama
110,11722,3.0,1157339960,0,Braveheart,1995,Action,Drama,War,11637,4.04,0.97,296,590,500,50,349,28,1993,1.24,3.84,0.67,Drama,Thriller,Action,Adventure,Comedy
110,23918,5.0,1424016327,1,Braveheart,1995,Action,Drama,War,11637,4.04,0.97,356,527,318,"","",3,1993,0.58,5.00,0.00,Drama,War,Crime,Comedy,Romance
112,23843,3.0,839632743,0,Rumble in the Bronx (Hont faan kui),1995,Action,Adventure,Comedy,2577,3.41,0.95,249,211,471,271,319,100,1993,6.49,3.84,0.77,Drama,Thriller,Romance,Comedy,Action
140,24269,1.0,856815351,0,Up Close and Personal,1996,Drama,Romance,"",1103,3.29,1.03,58,608,733,36,17,18,1994,4.36,3.11,0.90,Drama,Romance,Crime,Thriller,Comedy
150,16974,4.0,1227452016,1,Apollo 13,1995,Adventure,Drama,IMAX,10324,3.86,0.86,592,480,356,593,296,24,1988,13.05,3.75,0.99,Comedy,Drama,Action,Sci-Fi,Thriller
150,2904,4.0,832706078,1,Apollo 13,1995,Adventure,Drama,IMAX,10324,3.86,0.86,296,"","","","",2,1994,0.00,4.00,1.41,Comedy,Crime,Drama,Thriller,""
160,11888,4.0,845674792,1,Congo,1995,Action,Adventure,Mystery,3235,2.60,1.01,39,539,410,597,589,51,1993,1.56,3.31,0.95,Comedy,Thriller,Drama,Action,Romance
165,14204,3.0,837614220,0,Die Hard: With a Vengeance,1995,Action,Crime,Thriller,7392,3.50,0.89,296,"","","","",4,1993,2.71,3.50,1.00,Comedy,Crime,Drama,Thriller,""
177,23843,2.0,839633277,0,Lord of Illusions,1995,Horror,"","",499,2.83,1.04,198,514,183,249,211,100,1993,6.48,3.79,0.74,Drama,Thriller,Romance,Action,Comedy
179,2136,3.5,1073528601,1,Mad Love,1995,Drama,Romance,"",294,2.76,0.98,539,5,223,232,605,14,1994,1.34,4.54,0.37,Drama,Romance,Comedy,Crime,War
18,20219,5.0,867629954,1,Four Rooms,1995,Comedy,"","",1111,3.31,1.04,104,653,112,260,733,71,1995,3.60,2.85,0.86,Action,Adventure,Thriller,Mystery,Sci-Fi
186,3210,3.0,1119396010,0,Nine Months,1995,Comedy,Romance,"",2425,2.89,0.99,168,282,"","","",3,1994,0.58,3.50,1.00,Drama,Action,Romance,"",""
204,1512,4.0,838990518,1,Under Siege 2: Dark Territory,1995,Action,"","",1782,2.97,1.06,2,196,350,282,315,38,1993,1.74,3.95,0.66,Drama,Thriller,Comedy,Action,Adventure
208,21331,3.0,836936782,0,Waterworld,1995,Action,Adventure,Sci-Fi,5958,2.85,1.03,185,253,10,593,457,17,1993,1.96,4.35,0.70,Action,Thriller,Crime,Adventure,Drama
21,23459,5.0,947803341,1,Get Shorty,1995,Comedy,Crime,Thriller,5164,3.58,0.93,915,205,342,492,635,100,1979,21.52,4.00,1.17,Drama,Comedy,Romance,Thriller,Mystery
21,29912,1.0,866820480,0,Get Shorty,1995,Comedy,Crime,Thriller,5164,3.58,0.93,367,500,786,141,"",25,1994,3.72,2.76,1.05,Comedy,Action,Drama,Thriller,Crime
218,24269,3.0,856818983,0,Boys on the Side,1995,Comedy,Drama,"",934,3.26,0.97,273,417,45,551,506,100,1983,18.63,3.44,0.62,Drama,Romance,Comedy,Children,Musical
218,7252,3.0,842959103,0,Boys on the Side,1995,Comedy,Drama,"",934,3.26,0.97,272,780,497,265,17,41,1993,1.53,3.24,0.94,Drama,Thriller,Action,Comedy,Romance
225,28158,3.0,840768970,0,Disclosure,1994,Drama,Thriller,"",2693,3.29,0.87,377,364,454,10,292,17,1993,1.98,3.88,0.86,Thriller,Adventure,Action,Drama,Romance
